id,character,jis,joyo,kanken,primary_school
2105,肪,1,1,4,0
2106,肯,1,1,0,0
2107,肱,1,0,0,0
2108,育,1,1,8,3
2109,肴,1,0,0,0
2110,肺,1,1,5,6
2111,胃,1,1,7,4
2112,胆,1,1,3,0
2113,背,1,1,5,6
2114,胎,1,1,3,0
2115,胞,1,1,3,0
2116,胡,1,0,0,0
2117,胤,1,0,0,0
2118,胴,1,1,4,0
2119,胸,1,1,5,6
2120,能,1,1,6,5
2121,脂,1,1,4,0
2122,脅,1,1,3,0
2123,脆,1,0,0,0
2124,脇,1,1,2,0
2125,脈,1,1,7,4
2126,脊,1,1,2,0
2127,脚,1,1,4,0
2128,脱,1,1,4,0
2129,脳,1,1,5,6
2130,脹,1,0,0,0
2131,腎,1,1,2,0
2132,腐,1,1,4,0
2133,腔,1,0,0,0
2134,腕,1,1,4,0
2135,腫,1,1,2,0
2136,腰,1,1,4,0
2137,腸,1,1,7,4
2138,腹,1,1,5,6
2139,腺,1,1,2,0
2140,腿,1,0,0,0
2141,膏,1,0,0,0
2142,膚,1,1,4,0
2143,膜,1,1,3,0
2144,膝,1,1,2,0
2145,膨,1,1,3,0
2146,膳,1,1,2,0
2147,膿,1,0,0,0
2148,臆,1,1,2,0
2149,臓,1,1,5,6
2150,臣,1,1,7,4
2151,臥,1,0,0,0
2152,臨,1,1,5,6
2153,自,1,1,9,2
2154,臭,1,1,0,0
2155,至,1,1,5,6
2156,致,1,1,4,0
2157,臼,1,1,2,0
2158,興,1,1,6,5
2159,舌,1,1,6,5
2160,舎,1,1,6,5
2161,舗,1,1,4,0
2162,舘,1,0,0,0
2163,舛,1,0,0,0
2164,舜,1,0,0,0
2165,舞,1,1,4,0
2166,舟,1,1,4,0
2167,航,1,1,7,4
2168,般,1,1,4,0
2169,舵,1,0,0,0
2170,舶,1,1,0,0
2171,舷,1,1,2,0
2172,船,1,1,9,2
2173,艇,1,1,0,0
2174,艦,1,1,0,0
2175,艮,1,0,0,0
2176,良,1,1,7,4
2177,色,1,1,9,2
2178,艶,1,1,2,0
2179,芋,1,1,4,0
2180,芙,1,0,0,0
2181,芝,1,1,4,0
2182,芥,1,0,0,0
2183,芦,1,0,1,0
2184,芭,1,0,0,0
2185,芯,1,1,2,0
2186,花,1,1,10,1
2187,芳,1,1,3,0
2188,芸,1,1,7,4
2189,芹,1,0,0,0
2190,芽,1,1,7,4
2191,苅,1,0,0,0
2192,苑,1,0,0,0
2193,苓,1,0,0,0
2194,苔,1,0,0,0
2195,苗,1,1,3,0
2196,苛,1,1,2,0
2197,若,1,1,5,6
2198,苦,1,1,8,3
2199,苧,1,0,0,0
2200,苫,1,0,0,0
2201,英,1,1,7,4
2202,茂,1,1,4,0
2203,茄,1,0,0,0
2204,茅,1,0,0,0
2205,茎,1,1,0,0
2206,茜,1,0,0,0
2207,茨,1,1,2,0
2208,茶,1,1,9,2
2209,茸,1,0,0,0
2210,草,1,1,10,1
2211,荊,1,0,0,0
2212,荏,1,0,0,0
2213,荒,1,1,4,0
2214,荘,1,1,0,0
2215,荷,1,1,8,3
2216,荻,1,0,0,0
2217,莞,1,0,0,0
2218,莫,1,0,0,0
2219,莱,1,0,0,0
2220,菅,1,0,0,0
2221,菊,1,1,3,0
2222,菌,1,1,0,0
2223,菓,1,1,4,0
2224,菖,1,0,0,0
2225,菜,1,1,7,4
2226,菟,1,0,0,0
2227,菩,1,0,0,0
2228,華,1,1,3,0
2229,菰,1,0,0,0
2230,菱,1,0,0,0
2231,萄,1,0,0,0
2232,萌,1,0,0,0
2233,萎,1,1,2,0
2234,萩,1,0,0,0
2235,萱,1,0,0,0
2236,落,1,1,8,3
2237,葉,1,1,8,3
2238,葎,1,0,0,0
2239,著,1,1,5,6
2240,葛,1,1,2,0
2241,葡,1,0,0,0
2242,董,1,0,0,0
2243,葦,1,0,0,0
2244,葬,1,1,3,0
2245,葱,1,0,0,0
2246,葵,1,0,0,0
2247,葺,1,0,0,0
2248,蒋,1,0,0,0
2249,蒐,1,0,0,0
2250,蒔,1,0,0,0
2251,蒙,1,0,0,0
2252,蒜,1,0,0,0
2253,蒲,1,0,0,0
2254,蒸,1,1,5,6
2255,蒼,1,0,0,0
2256,蓄,1,1,4,0
2257,蓉,1,0,0,0
2258,蓋,1,1,2,0
2259,蓑,1,0,0,0
2260,蓬,1,0,0,0
2261,蓮,1,0,0,0
2262,蔀,1,0,0,0
2263,蔑,1,1,2,0
2264,蔓,1,0,0,0
2265,蔚,1,0,0,0
2266,蔦,1,0,0,0
2267,蔭,1,0,0,0
2268,蔵,1,1,5,6
2269,蔽,1,1,2,0
2270,蕃,1,0,0,0
2271,蕉,1,0,0,0
2272,蕊,1,0,0,0
2273,蕎,1,0,0,0
2274,蕗,1,0,0,0
2275,蕨,1,0,0,0
2276,蕩,1,0,0,0
2277,蕪,1,0,0,0
2278,薄,1,1,4,0
2279,薗,1,0,0,0
2280,薙,1,0,0,0
2281,薦,1,1,0,0
2282,薩,1,0,0,0
2283,薪,1,1,4,0
2284,薫,1,1,0,0
2285,薬,1,1,8,3
2286,薮,1,0,0,0
2287,薯,1,0,0,0
2288,藁,1,0,0,0
2289,藍,1,1,2,0
2290,藤,1,1,2,0
2291,藩,1,1,3,0
2292,藷,1,0,0,0
2293,藻,1,1,0,0
2294,蘇,1,0,0,0
2295,蘭,1,0,0,0
2296,虎,1,1,2,0
2297,虐,1,1,3,0
2298,虚,1,1,3,0
2299,虜,1,1,0,0
2300,虞,1,1,0,0
2301,虫,1,1,10,1
2302,虹,1,1,2,0
2303,虻,1,0,0,0
2304,蚊,1,1,0,0
2305,蚕,1,1,5,6
2306,蚤,1,0,0,0
2307,蛇,1,1,0,0
2308,蛋,1,0,0,0
2309,蛍,1,1,0,0
2310,蛎,1,0,0,0
2311,蛙,1,0,0,0
2312,蛤,1,0,0,0
2313,蛭,1,0,0,0
2314,蛮,1,1,3,0
2315,蛸,1,0,0,0
2316,蛾,1,0,0,0
2317,蜂,1,1,2,0
2318,蜘,1,0,0,0
2319,蜜,1,1,2,0
2320,蝉,1,0,0,0
2321,蝋,1,0,0,0
2322,蝕,1,0,0,0
2323,蝦,1,0,0,0
2324,蝶,1,0,0,0
2325,蝿,1,0,0,0
2326,融,1,1,0,0
2327,螺,1,0,0,0
2328,蟹,1,0,0,0
2329,蟻,1,0,0,0
2330,血,1,1,8,3
2331,衆,1,1,5,6
2332,行,1,1,9,2
2333,術,1,1,6,5
2334,街,1,1,7,4
2335,衛,1,1,6,5
2336,衝,1,1,3,0
2337,衡,1,1,0,0
2338,衣,1,1,7,4
2339,表,1,1,8,3
2340,衰,1,1,3,0
2341,衷,1,1,0,0
2342,衿,1,0,0,0
2343,袈,1,0,0,0
2344,袋,1,1,3,0
2345,袖,1,1,2,0
2346,被,1,1,4,0
2347,袴,1,0,0,0
2348,袷,1,0,0,0
2349,裁,1,1,5,6
2350,裂,1,1,3,0
2351,装,1,1,5,6
2352,裏,1,1,5,6
2353,裕,1,1,0,0
2354,補,1,1,5,6
2355,裟,1,0,0,0
2356,裡,1,0,0,0
2357,裳,1,0,0,0
2358,裸,1,1,3,0
2359,製,1,1,6,5
2360,裾,1,1,2,0
2361,複,1,1,6,5
2362,褐,1,1,0,0
2363,褒,1,1,0,0
2364,襖,1,0,0,0
2365,襟,1,1,0,0
2366,襲,1,1,4,0
2367,西,1,1,9,2
2368,要,1,1,7,4
2369,覆,1,1,3,0
2370,覇,1,1,0,0
2371,見,1,1,10,1
2372,規,1,1,6,5
2373,視,1,1,5,6
2374,覗,1,0,0,0
2375,覚,1,1,7,4
2376,覧,1,1,5,6
2377,親,1,1,9,2
2378,観,1,1,7,4
2379,角,1,1,9,2
2380,解,1,1,6,5
2381,触,1,1,4,0
2382,言,1,1,9,2
2383,訂,1,1,3,0
2384,計,1,1,9,2
2385,訊,1,0,0,0
2386,討,1,1,5,6
2387,訓,1,1,7,4
2388,託,1,1,3,0
2389,記,1,1,9,2
2390,訟,1,1,0,0
2391,訣,1,0,0,0
2392,訪,1,1,5,6
2393,設,1,1,6,5
2394,許,1,1,6,5
2395,訳,1,1,5,6
2396,訴,1,1,4,0
2397,診,1,1,0,0
2398,註,1,0,0,0
2399,証,1,1,6,5
2400,詐,1,1,0,0
2401,詑,1,0,0,0
2402,詔,1,1,0,0
2403,評,1,1,6,5
2404,詞,1,1,5,6
2405,詠,1,1,3,0
2406,詣,1,1,2,0
2407,試,1,1,7,4
2408,詩,1,1,8,3
2409,詫,1,0,0,0
2410,詮,1,1,2,0
2411,詰,1,1,4,0
2412,話,1,1,9,2
2413,該,1,1,3,0
2414,詳,1,1,4,0
2415,誇,1,1,4,0
2416,誉,1,1,4,0
2417,誌,1,1,5,6
2418,認,1,1,5,6
2419,誓,1,1,0,0
2420,誕,1,1,5,6
2421,誘,1,1,3,0
2422,語,1,1,9,2
2423,誠,1,1,5,6
2424,誤,1,1,5,6
2425,説,1,1,7,4
2426,読,1,1,9,2
2427,誰,1,1,2,0
2428,課,1,1,7,4
2429,誹,1,0,0,0
2430,誼,1,0,0,0
2431,調,1,1,8,3
2432,談,1,1,8,3
2433,請,1,1,3,0
2434,諌,1,0,0,0
2435,諏,1,0,0,0
2436,諒,1,0,0,0
2437,論,1,1,5,6
2438,諜,1,0,0,0
2439,諦,1,1,2,0
2440,諭,1,1,0,0
2441,諮,1,1,3,0
2442,諸,1,1,5,6
2443,諺,1,0,0,0
2444,諾,1,1,3,0
2445,謀,1,1,3,0
2446,謁,1,1,0,0
2447,謂,1,0,0,0
2448,謄,1,1,0,0
2449,謎,1,1,2,0
2450,謙,1,1,0,0
2451,講,1,1,6,5
2452,謝,1,1,6,5
2453,謡,1,1,4,0
2454,謬,1,0,0,0
2455,謹,1,1,0,0
2456,識,1,1,6,5
2457,譜,1,1,0,0
2458,警,1,1,5,6
2459,議,1,1,7,4
2460,譲,1,1,3,0
2461,護,1,1,6,5
2462,讃,1,0,0,0
2463,讐,1,0,1,0
2464,谷,1,1,9,2
2465,豆,1,1,8,3
2466,豊,1,1,6,5
2467,豚,1,1,3,0
2468,象,1,1,7,4
2469,豪,1,1,4,0
2470,豹,1,0,0,0
2471,貌,1,1,2,0
2472,貝,1,1,10,1
2473,貞,1,1,0,0
2474,負,1,1,8,3
2475,財,1,1,6,5
2476,貢,1,1,0,0
2477,貧,1,1,6,5
2478,貨,1,1,7,4
2479,販,1,1,4,0
2480,貫,1,1,3,0
2481,責,1,1,6,5
2482,貯,1,1,7,4
2483,貰,1,0,0,0
2484,貴,1,1,5,6
2485,買,1,1,9,2
2486,貸,1,1,6,5
2487,費,1,1,7,4
2488,貼,1,1,2,0
2489,貿,1,1,6,5
2490,賀,1,1,6,5
2491,賂,1,1,2,0
2492,賃,1,1,5,6
2493,賄,1,1,0,0
2494,資,1,1,6,5
2495,賊,1,1,3,0
2496,賎,1,0,0,0
2497,賑,1,0,0,0
2498,賓,1,1,0,0
2499,賛,1,1,6,5
2500,賜,1,1,0,0
2501,賞,1,1,7,4
2502,賠,1,1,0,0
2503,賢,1,1,3,0
2504,賦,1,1,4,0
2505,質,1,1,6,5
2506,賭,1,1,2,0
2507,購,1,1,0,0
2508,贈,1,1,4,0
2509,贋,1,0,0,0
2510,赤,1,1,10,1
2511,赦,1,1,3,0
2512,赫,1,0,0,0
2513,走,1,1,9,2
2514,赴,1,1,3,0
2515,起,1,1,8,3
2516,超,1,1,3,0
2517,越,1,1,4,0
2518,趣,1,1,4,0
2519,趨,1,0,0,0
2520,足,1,1,10,1
2521,距,1,1,4,0
2522,跡,1,1,4,0
2523,跨,1,0,0,0
2524,路,1,1,8,3
2525,跳,1,1,4,0
2526,践,1,1,0,0
2527,踊,1,1,4,0
2528,踏,1,1,4,0
2529,蹄,1,0,0,0
2530,蹟,1,0,0,0
2531,蹴,1,1,2,0
2532,躍,1,1,4,0
2533,身,1,1,8,3
2534,躯,1,0,0,0
2535,車,1,1,10,1
2536,軌,1,1,3,0
2537,軍,1,1,7,4
2538,軒,1,1,4,0
2539,軟,1,1,0,0
2540,転,1,1,8,3
2541,軸,1,1,3,0
2542,軽,1,1,8,3
2543,較,1,1,4,0
2544,載,1,1,4,0
2545,輔,1,0,0,0
2546,輝,1,1,4,0
2547,輩,1,1,4,0
2548,輪,1,1,7,4
2549,輯,1,0,0,0
2550,輸,1,1,6,5
2551,輿,1,0,0,0
2552,轄,1,1,0,0
2553,轍,1,0,0,0
2554,轟,1,0,0,0
2555,轡,1,0,0,0
2556,辛,1,1,3,0
2557,辞,1,1,7,4
2558,辰,1,0,0,0
2559,辱,1,1,3,0
2560,農,1,1,8,3
2561,辺,1,1,7,4
2562,辻,1,0,0,0
2563,込,1,1,4,0
2564,辿,1,0,0,0
2565,迂,1,0,0,0
2566,迄,1,0,0,0
2567,迅,1,1,0,0
2568,迎,1,1,4,0
2569,近,1,1,9,2
2570,返,1,1,8,3
2571,迦,1,0,0,0
2572,迩,1,0,0,0
2573,迫,1,1,4,0
2574,迭,1,1,0,0
2575,述,1,1,6,5
2576,迷,1,1,6,5
2577,追,1,1,8,3
2578,退,1,1,6,5
2579,送,1,1,8,3
2580,逃,1,1,4,0
2581,逆,1,1,6,5
2582,透,1,1,4,0
2583,逐,1,1,0,0
2584,逓,1,1,0,0
2585,途,1,1,4,0
2586,逗,1,0,0,0
2587,這,1,0,0,0
2588,通,1,1,9,2
2589,逝,1,1,0,0
2590,速,1,1,8,3
2591,造,1,1,6,5
2592,逢,1,0,0,0
2593,連,1,1,7,4
2594,逮,1,1,3,0
2595,週,1,1,9,2
2596,進,1,1,8,3
2597,逸,1,1,0,0
2598,逼,1,0,0,0
2599,遁,1,0,0,0
2600,遂,1,1,3,0
2601,遅,1,1,4,0
2602,遇,1,1,3,0
2603,遊,1,1,8,3
2604,運,1,1,8,3
2605,遍,1,1,0,0
2606,過,1,1,6,5
2607,道,1,1,9,2
2608,達,1,1,7,4
2609,違,1,1,4,0
2610,遜,1,1,2,0
2611,遠,1,1,9,2
2612,遡,1,1,2,0
2613,遣,1,1,4,0
2614,遥,1,0,0,0
2615,適,1,1,6,5
2616,遭,1,1,3,0
2617,遮,1,1,0,0
2618,遵,1,1,3,0
2619,遷,1,1,0,0
2620,選,1,1,7,4
2621,遺,1,1,5,6
2622,遼,1,0,0,0
2623,避,1,1,4,0
2624,還,1,1,0,0
2625,邑,1,0,0,0
2626,那,1,1,2,0
2627,邦,1,1,3,0
2628,邪,1,1,3,0
2629,邸,1,1,0,0
2630,郁,1,0,0,0
2631,郊,1,1,3,0
2632,郎,1,1,4,0
2633,郡,1,1,7,4
2634,部,1,1,8,3
2635,郭,1,1,3,0
2636,郵,1,1,5,6
2637,郷,1,1,5,6
2638,都,1,1,8,3
2639,鄭,1,0,0,0
2640,酉,1,0,0,0
2641,酋,1,0,0,0
2642,酌,1,1,0,0
2643,配,1,1,8,3
2644,酎,1,1,2,0
2645,酒,1,1,8,3
2646,酔,1,1,3,0
2647,酢,1,1,0,0
2648,酪,1,1,0,0
2649,酬,1,1,0,0
2650,酵,1,1,3,0
2651,酷,1,1,0,0
2652,酸,1,1,6,5
2653,醇,1,0,0,0
2654,醍,1,0,0,0
2655,醐,1,0,0,0
2656,醒,1,1,2,0
2657,醗,1,0,0,0
2658,醜,1,1,0,0
2659,醤,1,0,0,0
2660,醸,1,1,0,0
2661,釆,1,0,0,0
2662,采,1,1,2,0
2663,釈,1,1,4,0
2664,里,1,1,9,2
2665,重,1,1,8,3
2666,野,1,1,9,2
2667,量,1,1,7,4
2668,金,1,1,10,1
2669,釘,1,0,0,0
2670,釜,1,1,2,0
2671,針,1,1,5,6
2672,釣,1,1,0,0
2673,釦,1,0,0,0
2674,釧,1,0,0,0
2675,鈍,1,1,4,0
2676,鈎,1,0,0,0
2677,鈴,1,1,0,0
2678,鈷,1,0,0,0
2679,鉄,1,1,8,3
2680,鉛,1,1,4,0
2681,鉢,1,1,0,0
2682,鉦,1,0,0,0
2683,鉱,1,1,6,5
2684,鉾,1,0,0,0
2685,銀,1,1,8,3
2686,銃,1,1,0,0
2687,銅,1,1,6,5
2688,銑,1,0,0,0
2689,銘,1,1,0,0
2690,銚,1,0,0,0
2691,銭,1,1,6,5
2692,鋒,1,0,0,0
2693,鋤,1,0,0,0
2694,鋪,1,0,0,0
2695,鋭,1,1,4,0
2696,鋲,1,0,0,0
2697,鋳,1,1,3,0
2698,鋸,1,0,0,0
2699,鋼,1,1,5,6
2700,錆,1,0,0,0
2701,錐,1,0,0,0
2702,錘,1,0,0,0
2703,錠,1,1,3,0
2704,錦,1,1,2,0
2705,錨,1,0,0,0
2706,錫,1,0,0,0
2707,錬,1,1,3,0
2708,錯,1,1,3,0
2709,録,1,1,7,4
2710,鍋,1,1,2,0
2711,鍍,1,0,0,0
2712,鍔,1,0,0,0
2713,鍛,1,1,3,0
2714,鍬,1,0,0,0
2715,鍵,1,1,2,0
2716,鍾,1,0,0,0
2717,鎌,1,1,2,0
2718,鎖,1,1,4,0
2719,鎗,1,0,0,0
2720,鎚,1,0,0,0
2721,鎧,1,0,0,0
2722,鎮,1,1,3,0
2723,鏑,1,0,0,0
2724,鏡,1,1,7,4
2725,鐘,1,1,3,0
2726,鐙,1,0,0,0
2727,鐸,1,0,0,0
2728,鑑,1,1,4,0
2729,鑓,1,0,0,0
2730,長,1,1,9,2
2731,門,1,1,9,2
2732,閃,1,0,0,0
2733,閉,1,1,5,6
2734,開,1,1,8,3
2735,閏,1,0,0,0
2736,閑,1,1,0,0
2737,間,1,1,9,2
2738,関,1,1,7,4
2739,閣,1,1,5,6
2740,閤,1,0,0,0
2741,閥,1,1,0,0
2742,閲,1,1,3,0
2743,闇,1,1,2,0
2744,闘,1,1,4,0
2745,阜,1,1,2,0
2746,阪,1,1,2,0
2747,防,1,1,6,5
2748,阻,1,1,3,0
2749,阿,1,0,0,0
2750,陀,1,0,0,0
2751,附,1,1,0,0
2752,降,1,1,5,6
2753,限,1,1,6,5
2754,陛,1,1,5,6
2755,院,1,1,8,3
2756,陣,1,1,4,0
2757,除,1,1,5,6
2758,陥,1,1,0,0
2759,陪,1,1,3,0
2760,陰,1,1,4,0
2761,陳,1,1,3,0
2762,陵,1,1,3,0
2763,陶,1,1,3,0
2764,陸,1,1,7,4
2765,険,1,1,6,5
2766,陽,1,1,8,3
2767,隅,1,1,0,0
2768,隆,1,1,3,0
2769,隈,1,0,0,0
2770,隊,1,1,7,4
2771,階,1,1,8,3
2772,随,1,1,3,0
2773,隔,1,1,3,0
2774,隙,1,1,2,0
2775,際,1,1,6,5
2776,障,1,1,5,6
2777,隠,1,1,4,0
2778,隣,1,1,4,0
2779,隷,1,1,4,0
2780,隻,1,1,3,0
2781,隼,1,0,0,0
2782,雀,1,0,0,0
2783,雁,1,0,0,0
2784,雄,1,1,4,0
2785,雅,1,1,4,0
2786,集,1,1,8,3
2787,雇,1,1,3,0
2788,雌,1,1,4,0
2789,雑,1,1,6,5
2790,雛,1,0,0,0
2791,離,1,1,4,0
2792,難,1,1,5,6
2793,雨,1,1,10,1
2794,雪,1,1,9,2
2795,雫,1,0,0,0
2796,雰,1,1,0,0
2797,雲,1,1,9,2
2798,零,1,1,3,0
2799,雷,1,1,4,0
2800,電,1,1,9,2
2801,需,1,1,4,0
2802,震,1,1,4,0
2803,霊,1,1,3,0
2804,霜,1,1,0,0
2805,霞,1,0,0,0
2806,霧,1,1,4,0
2807,露,1,1,4,0
2808,青,1,1,10,1
2809,靖,1,0,0,0
2810,静,1,1,7,4
2811,非,1,1,6,5
2812,面,1,1,8,3
2813,革,1,1,5,6
2814,靭,1,0,0,0
2815,靴,1,1,0,0
2816,鞄,1,0,0,0
2817,鞍,1,0,0,0
2818,鞘,1,0,0,0
2819,鞠,1,0,0,0
2820,鞭,1,0,0,0
2821,韓,1,1,2,0
2822,韮,1,0,0,0
2823,音,1,1,10,1
2824,韻,1,1,0,0
2825,響,1,1,4,0
2826,頁,1,0,0,0
2827,頂,1,1,5,6
2828,頃,1,1,2,0
2829,項,1,1,4,0
2830,順,1,1,7,4
2831,須,1,1,2,0
2832,預,1,1,6,5
2833,頑,1,1,0,0
2834,頒,1,1,0,0
2835,頓,1,1,2,0
2836,頗,1,0,0,0
2837,領,1,1,6,5
2838,頚,1,0,0,0
2839,頬,1,1,2,0
2840,頭,1,1,9,2
2841,頴,1,0,0,0
2842,頻,1,1,0,0
2843,頼,1,1,4,0
2844,題,1,1,8,3
2845,額,1,1,6,5
2846,顎,1,1,2,0
2847,顔,1,1,9,2
2848,顕,1,1,0,0
2849,願,1,1,7,4
2850,顛,1,0,0,0
2851,類,1,1,7,4
2852,顧,1,1,3,0
2853,風,1,1,9,2
2854,飛,1,1,7,4
2855,食,1,1,9,2
2856,飢,1,1,0,0
2857,飯,1,1,7,4
2858,飲,1,1,8,3
2859,飴,1,0,0,0
2860,飼,1,1,6,5
2861,飽,1,1,3,0
2862,飾,1,1,4,0
2863,餅,1,1,2,0
2864,養,1,1,7,4
2865,餌,1,1,2,0
2866,餐,1,0,0,0
2867,餓,1,1,3,0
2868,館,1,1,8,3
2869,饗,1,0,0,0
2870,首,1,1,9,2
2871,香,1,1,4,0
2872,馨,1,0,0,0
2873,馬,1,1,9,2
2874,馳,1,0,0,0
2875,馴,1,0,0,0
2876,駁,1,0,0,0
2877,駄,1,1,0,0
2878,駅,1,1,8,3
2879,駆,1,1,4,0
2880,駈,1,0,0,0
2881,駐,1,1,3,0
2882,駒,1,1,2,0
2883,駕,1,0,0,0
2884,駿,1,0,0,0
2885,騎,1,1,3,0
2886,騒,1,1,4,0
2887,験,1,1,7,4
2888,騨,1,0,0,0
2889,騰,1,1,0,0
2890,驚,1,1,4,0
2891,骨,1,1,5,6
2892,骸,1,1,2,0
2893,髄,1,1,3,0
2894,高,1,1,9,2
2895,髪,1,1,4,0
2896,髭,1,0,0,0
2897,鬼,1,1,4,0
2898,魁,1,0,0,0
2899,魂,1,1,3,0
2900,魅,1,1,3,0
2901,魔,1,1,3,0
2902,魚,1,1,9,2
2903,魯,1,0,0,0
2904,鮎,1,0,0,0
2905,鮒,1,0,0,0
2906,鮪,1,0,0,0
2907,鮫,1,0,0,0
2908,鮭,1,0,0,0
2909,鮮,1,1,4,0
2910,鯉,1,0,0,0
2911,鯖,1,0,0,0
2912,鯛,1,0,0,0
2913,鯨,1,1,3,0
2914,鯵,1,0,0,0
2915,鰍,1,0,0,0
2916,鰐,1,0,0,0
2917,鰭,1,0,0,0
2918,鰯,1,0,0,0
2919,鰹,1,0,0,0
2920,鰻,1,0,0,0
2921,鱈,1,0,0,0
2922,鱒,1,0,0,0
2923,鱗,1,0,0,0
2924,鳥,1,1,9,2
2925,鳩,1,0,0,0
2926,鳳,1,0,0,0
2927,鳴,1,1,9,2
2928,鳶,1,0,0,0
2929,鴇,1,0,0,0
2930,鴎,1,0,0,0
2931,鴛,1,0,0,0
2932,鴨,1,0,0,0
2933,鴫,1,0,0,0
2934,鴬,1,0,0,0
2935,鴻,1,0,0,0
2936,鵜,1,0,0,0
2937,鵠,1,0,0,0
2938,鵡,1,0,0,0
2939,鵬,1,0,0,0
2940,鶏,1,1,3,0
2941,鶴,1,1,2,0
2942,鷲,1,0,0,0
2943,鷹,1,0,0,0
2944,鷺,1,0,0,0
2945,鹸,1,0,0,0
2946,鹿,1,1,2,0
2947,麓,1,1,2,0
2948,麗,1,1,4,0
2949,麟,1,0,0,0
2950,麦,1,1,9,2
2951,麹,1,0,0,0
2952,麺,1,1,2,0
2953,麻,1,1,0,0
2954,麿,1,0,0,0
2955,黄,1,1,9,2
2956,黍,1,0,0,0
2957,黒,1,1,9,2
2958,黙,1,1,4,0
2959,黛,1,0,0,0
2960,鼎,1,0,0,0
2961,鼓,1,1,4,0
2962,鼠,1,0,0,0
2963,鼻,1,1,8,3
2964,齢,1,1,4,0
2965,龍,1,0,0,0
2966,丐,2,0,1,0
2967,丕,2,0,1,0
2968,丗,2,0,1,0
2969,个,2,0,0,0
2970,丱,2,0,1,0
2971,丶,2,0,0,0
2972,丼,2,1,2,0
2973,丿,2,0,0,0
2974,乂,2,0,1,0
2975,乕,2,0,0,0
2976,乖,2,0,1,0
2977,乘,2,0,0,0
2978,乢,2,0,0,0
2979,亂,2,0,0,0
2980,亅,2,0,0,0
2981,亊,2,0,0,0
2982,于,2,0,1,0
2983,亞,2,0,0,0
2984,亟,2,0,1,0
2985,亠,2,0,0,0
2986,亢,2,0,1,0
2987,亰,2,0,0,0
2988,亳,2,0,0,0
2989,亶,2,0,1,0
2990,仂,2,0,1,0
2991,仄,2,0,1,0
2992,仆,2,0,1,0
2993,仍,2,0,1,0
2994,从,2,0,0,0
2995,仗,2,0,1,0
2996,仞,2,0,1,0
2997,仟,2,0,1,0
2998,仭,2,0,1,0
2999,价,2,0,1,0
3000,伉,2,0,1,0
3001,伜,2,0,1,0
3002,估,2,0,1,0
3003,佇,2,0,1,0
3004,佗,2,0,1,0
3005,佚,2,0,1,0
3006,佛,2,0,0,0
3007,佝,2,0,1,0
3008,佞,2,0,1,0
3009,佩,2,0,1,0
3010,佯,2,0,1,0
3011,佰,2,0,1,0
3012,佶,2,0,1,0
3013,佻,2,0,1,0
3014,來,2,0,0,0
3015,侈,2,0,1,0
3016,侏,2,0,1,0
3017,侑,2,0,1,0
3018,侖,2,0,1,0
3019,侘,2,0,1,0
3020,侫,2,0,0,0
3021,俎,2,0,1,0
3022,俐,2,0,1,0
3023,俑,2,0,1,0
3024,俔,2,0,1,0
3025,俘,2,0,1,0
3026,俚,2,0,1,0
3027,俛,2,0,1,0
3028,俟,2,0,1,0
3029,俤,2,0,1,0
3030,俥,2,0,1,0
3031,俯,2,0,1,0
3032,俶,2,0,1,0
3033,俾,2,0,1,0
3034,倅,2,0,1,0
3035,倆,2,0,1,0
3036,倏,2,0,1,0
3037,們,2,0,1,0
3038,倔,2,0,1,0
3039,倚,2,0,1,0
3040,倡,2,0,1,0
3041,倥,2,0,1,0
3042,倨,2,0,1,0
3043,倩,2,0,1,0
3044,倪,2,0,1,0
3045,倬,2,0,1,0
3046,偃,2,0,1,0
3047,假,2,0,0,0
3048,偈,2,0,1,0
3049,偐,2,0,1,0
3050,偕,2,0,1,0
3051,偖,2,0,1,0
3052,做,2,0,1,0
3053,偬,2,0,1,0
3054,偸,2,0,1,0
3055,傀,2,0,1,0
3056,傅,2,0,1,0
3057,傚,2,0,1,0
3058,傲,2,1,2,0
3059,傳,2,0,0,0
3060,傴,2,0,1,0
3061,僂,2,0,1,0
3062,僉,2,0,1,0
3063,僊,2,0,1,0
3064,僖,2,0,1,0
3065,僞,2,0,0,0
3066,僣,2,0,1,0
3067,僥,2,0,1,0
3068,僭,2,0,1,0
3069,僮,2,0,1,0
3070,僵,2,0,1,0
3071,價,2,0,0,0
3072,儁,2,0,1,0
3073,儂,2,0,1,0
3074,儉,2,0,0,0
3075,儔,2,0,1,0
3076,儕,2,0,1,0
3077,儖,2,0,0,0
3078,儘,2,0,0,0
3079,儚,2,0,1,0
3080,儡,2,0,1,0
3081,儷,2,0,1,0
3082,儺,2,0,1,0
3083,儻,2,0,1,0
3084,儼,2,0,1,0
3085,儿,2,0,0,0
3086,兀,2,0,1,0
3087,兌,2,0,1,0
3088,兒,2,0,0,0
3089,兔,2,0,0,0
3090,兢,2,0,1,0
3091,兩,2,0,0,0
3092,兪,2,0,1,0
3093,兮,2,0,0,0
3094,冀,2,0,1,0
3095,冂,2,0,0,0
3096,冉,2,0,1,0
3097,册,2,0,0,0
3098,冏,2,0,1,0
3099,冐,2,0,0,0
3100,冑,2,0,1,0
3101,冓,2,0,1,0
3102,冕,2,0,1,0
3103,冖,2,0,0,0
3104,冢,2,0,1,0
3105,冤,2,0,1,0
