id,character,jis,joyo,kanken,primary_school
377,各,1,1,7,4
378,合,1,1,9,2
379,吉,1,1,3,0
380,吊,1,0,0,0
381,吋,1,0,0,0
382,同,1,1,9,2
383,名,1,1,10,1
384,后,1,1,5,6
385,吏,1,1,3,0
386,吐,1,1,4,0
387,向,1,1,8,3
388,君,1,1,8,3
389,吟,1,1,0,0
390,吠,1,0,0,0
391,否,1,1,5,6
392,含,1,1,4,0
393,吸,1,1,5,6
394,吹,1,1,4,0
395,吻,1,0,0,0
396,吾,1,0,0,0
397,呂,1,1,2,0
398,呆,1,0,0,0
399,呈,1,1,0,0
400,呉,1,1,0,0
401,告,1,1,7,4
402,呑,1,0,0,0
403,周,1,1,7,4
404,呪,1,1,2,0
405,味,1,1,8,3
406,呼,1,1,5,6
407,命,1,1,8,3
408,咋,1,0,0,0
409,和,1,1,8,3
410,咲,1,1,4,0
411,咳,1,0,0,0
412,咽,1,1,2,0
413,哀,1,1,3,0
414,品,1,1,8,3
415,哉,1,0,0,0
416,員,1,1,8,3
417,哨,1,0,0,0
418,哩,1,0,0,0
419,哲,1,1,3,0
420,唄,1,1,2,0
421,唆,1,1,0,0
422,唇,1,1,0,0
423,唐,1,1,4,0
424,唖,1,0,0,0
425,唯,1,1,0,0
426,唱,1,1,7,4
427,唾,1,1,2,0
428,啄,1,0,0,0
429,商,1,1,8,3
430,問,1,1,8,3
431,啓,1,1,3,0
432,善,1,1,5,6
433,喉,1,1,2,0
434,喋,1,0,0,0
435,喚,1,1,3,0
436,喜,1,1,7,4
437,喝,1,1,0,0
438,喧,1,0,0,0
439,喪,1,1,0,0
440,喫,1,1,3,0
441,喬,1,0,0,0
442,喰,1,0,0,0
443,営,1,1,6,5
444,嗣,1,1,0,0
445,嘆,1,1,4,0
446,嘉,1,0,0,0
447,嘗,1,0,0,0
448,嘘,1,0,0,0
449,嘩,1,0,0,0
450,嘱,1,1,3,0
451,噂,1,0,0,0
452,噌,1,0,0,0
453,噛,1,0,0,0
454,器,1,1,7,4
455,噴,1,1,4,0
456,噸,1,0,0,0
457,噺,1,0,0,0
458,嚇,1,1,0,0
459,嚢,1,0,0,0
460,囚,1,1,0,0
461,四,1,1,10,1
462,回,1,1,9,2
463,因,1,1,6,5
464,団,1,1,6,5
465,困,1,1,5,6
466,囲,1,1,7,4
467,図,1,1,9,2
468,固,1,1,7,4
469,国,1,1,9,2
470,圃,1,0,0,0
471,圏,1,1,4,0
472,園,1,1,9,2
473,土,1,1,10,1
474,圧,1,1,6,5
475,在,1,1,6,5
476,圭,1,0,0,0
477,地,1,1,9,2
478,坂,1,1,8,3
479,均,1,1,6,5
480,坊,1,1,4,0
481,坐,1,0,0,0
482,坑,1,1,3,0
483,坤,1,0,0,0
484,坦,1,0,0,0
485,坪,1,1,0,0
486,垂,1,1,5,6
487,型,1,1,7,4
488,垢,1,0,0,0
489,垣,1,1,0,0
490,埋,1,1,3,0
491,城,1,1,5,6
492,埜,1,0,0,0
493,域,1,1,5,6
494,埠,1,0,0,0
495,埴,1,0,0,0
496,執,1,1,4,0
497,培,1,1,0,0
498,基,1,1,6,5
499,埼,1,1,2,0
500,堀,1,1,0,0
501,堂,1,1,7,4
502,堅,1,1,4,0
503,堆,1,1,2,0
504,堕,1,1,0,0
505,堤,1,1,4,0
506,堪,1,1,0,0
507,堰,1,0,0,0
508,報,1,1,6,5
509,場,1,1,9,2
510,堵,1,0,0,0
511,堺,1,0,0,0
512,塀,1,1,0,0
513,塁,1,1,0,0
514,塊,1,1,3,0
515,塑,1,1,0,0
516,塔,1,1,4,0
517,塗,1,1,3,0
518,塘,1,0,0,0
519,塙,1,0,0,0
520,塚,1,1,0,0
521,塞,1,1,2,0
522,塩,1,1,7,4
523,填,1,1,2,0
524,塵,1,0,0,0
525,塾,1,1,0,0
526,境,1,1,6,5
527,墓,1,1,6,5
528,増,1,1,6,5
529,墜,1,1,3,0
530,墨,1,1,3,0
531,墳,1,1,3,0
532,墾,1,1,3,0
533,壁,1,1,4,0
534,壇,1,1,3,0
535,壊,1,1,4,0
536,壌,1,1,0,0
537,壕,1,0,0,0
538,士,1,1,7,4
539,壬,1,0,0,0
540,壮,1,1,0,0
541,声,1,1,9,2
542,壱,1,1,4,0
543,売,1,1,9,2
544,壷,1,0,0,0
545,変,1,1,7,4
546,夏,1,1,9,2
547,夕,1,1,10,1
548,外,1,1,9,2
549,夙,1,0,0,0
550,多,1,1,9,2
551,夜,1,1,9,2
552,夢,1,1,6,5
553,大,1,1,10,1
554,天,1,1,10,1
555,太,1,1,9,2
556,夫,1,1,7,4
557,央,1,1,8,3
558,失,1,1,7,4
559,夷,1,0,0,0
560,奄,1,0,0,0
561,奇,1,1,4,0
562,奈,1,1,2,0
563,奉,1,1,3,0
564,奏,1,1,5,6
565,契,1,1,3,0
566,奔,1,1,0,0
567,套,1,0,0,0
568,奥,1,1,4,0
569,奨,1,1,0,0
570,奪,1,1,3,0
571,奮,1,1,5,6
572,女,1,1,10,1
573,奴,1,1,4,0
574,好,1,1,7,4
575,如,1,1,3,0
576,妃,1,1,0,0
577,妄,1,1,0,0
578,妊,1,1,0,0
579,妓,1,0,0,0
580,妖,1,1,2,0
581,妙,1,1,4,0
582,妥,1,1,0,0
583,妨,1,1,3,0
584,妬,1,1,2,0
585,妹,1,1,9,2
586,妻,1,1,6,5
587,妾,1,0,0,0
588,姉,1,1,9,2
589,始,1,1,8,3
590,姐,1,0,0,0
591,姑,1,0,0,0
592,姓,1,1,4,0
593,委,1,1,8,3
594,姥,1,0,0,0
595,姦,1,0,0,0
596,姪,1,0,0,0
597,姫,1,1,3,0
598,姶,1,0,0,0
599,姻,1,1,0,0
600,姿,1,1,5,6
601,威,1,1,4,0
602,娃,1,0,0,0
603,娘,1,1,4,0
604,娠,1,1,0,0
605,娩,1,0,0,0
606,娯,1,1,3,0
607,娼,1,0,0,0
608,婁,1,0,0,0
609,婆,1,1,3,0
610,婚,1,1,4,0
611,婦,1,1,6,5
612,婿,1,1,3,0
613,媒,1,1,0,0
614,媛,1,1,2,0
615,嫁,1,1,3,0
616,嫉,1,1,2,0
617,嫌,1,1,0,0
618,嫡,1,1,0,0
619,嬉,1,0,0,0
620,嬢,1,1,3,0
621,嬬,1,0,0,0
622,嬰,1,0,0,0
623,子,1,1,10,1
624,孔,1,1,3,0
625,字,1,1,10,1
626,存,1,1,5,6
627,孜,1,0,0,0
628,孝,1,1,5,6
629,孟,1,0,0,0
630,季,1,1,7,4
631,孤,1,1,3,0
632,学,1,1,10,1
633,孫,1,1,7,4
634,宅,1,1,5,6
635,宇,1,1,5,6
636,守,1,1,8,3
637,安,1,1,8,3
638,宋,1,0,0,0
639,完,1,1,7,4
640,宍,1,0,0,0
641,宏,1,0,0,0
642,宕,1,0,0,0
643,宗,1,1,5,6
644,官,1,1,7,4
645,宙,1,1,5,6
646,定,1,1,8,3
647,宛,1,1,2,0
648,宜,1,1,0,0
649,宝,1,1,5,6
650,実,1,1,8,3
651,客,1,1,8,3
652,宣,1,1,5,6
653,室,1,1,9,2
654,宥,1,0,0,0
655,宮,1,1,8,3
656,宰,1,1,0,0
657,害,1,1,7,4
658,宴,1,1,3,0
659,宵,1,1,0,0
660,家,1,1,9,2
661,容,1,1,6,5
662,宿,1,1,8,3
663,寂,1,1,4,0
664,寄,1,1,6,5
665,寅,1,0,0,0
666,密,1,1,5,6
667,富,1,1,6,5
668,寒,1,1,8,3
669,寓,1,0,0,0
670,寛,1,1,0,0
671,寝,1,1,4,0
672,察,1,1,7,4
673,寡,1,1,0,0
674,寧,1,1,0,0
675,審,1,1,3,0
676,寮,1,1,0,0
677,寵,1,0,0,0
678,寸,1,1,5,6
679,寺,1,1,9,2
680,対,1,1,8,3
681,寿,1,1,3,0
682,封,1,1,3,0
683,専,1,1,5,6
684,射,1,1,5,6
685,将,1,1,5,6
686,尉,1,1,0,0
687,尊,1,1,5,6
688,尋,1,1,4,0
689,導,1,1,6,5
690,小,1,1,10,1
691,少,1,1,9,2
692,尖,1,0,0,0
693,尚,1,1,0,0
694,尤,1,0,0,0
695,尭,1,0,0,0
696,就,1,1,5,6
697,尺,1,1,5,6
698,尻,1,1,2,0
699,尼,1,1,0,0
700,尽,1,1,4,0
701,尾,1,1,4,0
702,尿,1,1,3,0
703,局,1,1,8,3
704,居,1,1,6,5
705,屈,1,1,4,0
706,届,1,1,5,6
707,屋,1,1,8,3
708,屍,1,0,0,0
709,屑,1,0,0,0
710,展,1,1,5,6
711,属,1,1,6,5
712,屠,1,0,1,0
713,屡,1,0,0,0
714,層,1,1,5,6
715,履,1,1,0,0
716,屯,1,1,0,0
717,山,1,1,10,1
718,岐,1,1,3,0
719,岡,1,1,2,0
720,岨,1,0,0,0
721,岩,1,1,9,2
722,岬,1,1,0,0
723,岱,1,0,0,0
724,岳,1,1,3,0
725,岸,1,1,8,3
726,峠,1,1,4,0
727,峡,1,1,3,0
728,峨,1,0,0,0
729,峯,1,0,0,0
730,峰,1,1,4,0
731,島,1,1,8,3
732,峻,1,0,0,0
733,崇,1,1,0,0
734,崎,1,1,0,0
735,崖,1,1,2,0
736,崩,1,1,3,0
737,嵐,1,1,2,0
738,嵩,1,0,0,0
739,嵯,1,0,0,0
740,嶋,1,0,0,0
741,嶺,1,0,0,0
742,巌,1,0,0,0
743,川,1,1,10,1
744,州,1,1,8,3
745,巡,1,1,4,0
746,巣,1,1,7,4
747,工,1,1,9,2
748,左,1,1,10,1
749,巧,1,1,3,0
750,巨,1,1,4,0
751,差,1,1,7,4
752,己,1,1,5,6
753,巳,1,0,0,0
754,巴,1,0,0,0
755,巷,1,0,0,0
756,巻,1,1,5,6
757,巽,1,0,0,0
758,巾,1,1,2,0
759,市,1,1,9,2
760,布,1,1,6,5
761,帆,1,1,3,0
762,希,1,1,7,4
763,帖,1,0,0,0
764,帝,1,1,3,0
765,帥,1,1,0,0
766,師,1,1,6,5
767,席,1,1,7,4
768,帯,1,1,7,4
769,帰,1,1,9,2
770,帳,1,1,8,3
