yojijukugo,reading,link
雨露霜雪,うろそうせつ,https://www.kanjipedia.jp//kotoba/0000318900
雲煙過眼,うんえんかがん,https://www.kanjipedia.jp//kotoba/0000370600
雲煙縹渺,うんえんひょうびょう,https://www.kanjipedia.jp//kotoba/0000370700
運斤成風,うんきんせいふう,https://www.kanjipedia.jp//kotoba/0000367800
雲行雨施,うんこううし,https://www.kanjipedia.jp//kotoba/0000371600
雲合霧集,うんごうむしゅう,https://www.kanjipedia.jp//kotoba/0000371700
雲散霧消,うんさんむしょう,https://www.kanjipedia.jp//kotoba/0000371900
雲集霧散,うんしゅうむさん,https://www.kanjipedia.jp//kotoba/0000372100
雲壌月鼈,うんじょうげつべつ,https://www.kanjipedia.jp//kotoba/0000372200
雲蒸竜変,うんじょうりょうへん,https://www.kanjipedia.jp//kotoba/0000372400
雲心月性,うんしんげっせい,https://www.kanjipedia.jp//kotoba/0000372500
雲泥万里,うんでいばんり,https://www.kanjipedia.jp//kotoba/0000372900
運否天賦,うんぷてんぷ,https://www.kanjipedia.jp//kotoba/0000369100
雲竜井蛙,うんりゅうせいあ,https://www.kanjipedia.jp//kotoba/0000373200
永永無窮,えいえいむきゅう,https://www.kanjipedia.jp//kotoba/0000381200
栄華秀英,えいかしゅうえい,https://www.kanjipedia.jp//kotoba/0000389100
英華発外,えいかはつがい,https://www.kanjipedia.jp//kotoba/0000385400
永劫回帰,えいごうかいき,https://www.kanjipedia.jp//kotoba/0000381700
栄枯盛衰,えいこせいすい,https://www.kanjipedia.jp//kotoba/0000389400
永字八法,えいじはっぽう,https://www.kanjipedia.jp//kotoba/0000381900
英俊豪傑,えいしゅんごうけつ,https://www.kanjipedia.jp//kotoba/0000386100
郢書燕説,えいしょえんせつ,https://www.kanjipedia.jp//kotoba/0007460500
永垂不朽,えいすいふきゅう,https://www.kanjipedia.jp//kotoba/0000382100
永代供養,えいたいくよう,https://www.kanjipedia.jp//kotoba/0000382500
英雄欺人,えいゆうぎじん,https://www.kanjipedia.jp//kotoba/0000386800
栄耀栄華,えいようえいが,https://www.kanjipedia.jp//kotoba/0000390300
慧可断臂,えかだんぴ,https://www.kanjipedia.jp//kotoba/0001811100
益者三友,えきしゃさんゆう,https://www.kanjipedia.jp//kotoba/0000415300
易姓革命,えきせいかくめい,https://www.kanjipedia.jp//kotoba/0000412300
依怙贔屭,えこひいき,https://www.kanjipedia.jp//kotoba/0000131700
会者定離,えしゃじょうり,https://www.kanjipedia.jp//kotoba/0000757900
得手勝手,えてかって,https://www.kanjipedia.jp//kotoba/0005304900
蜿蜒長蛇,えんえんちょうだ,https://www.kanjipedia.jp//kotoba/0000481400
燕頷虎頸,えんがんこけい,https://www.kanjipedia.jp//kotoba/0000487200
燕頷投筆,えんがんとうひつ,https://www.kanjipedia.jp//kotoba/0007461000
延頸挙踵,えんけいきょしょう,https://www.kanjipedia.jp//kotoba/0000441400
遠交近攻,えんこうきんこう,https://www.kanjipedia.jp//kotoba/0000472200
円頂黒衣,えんちょうこくい,https://www.kanjipedia.jp//kotoba/0000437900
円転滑脱,えんてんかつだつ,https://www.kanjipedia.jp//kotoba/0000438000
鉛刀一割,えんとういっかつ,https://www.kanjipedia.jp//kotoba/0000476400
円頭方足,えんとうほうそく,https://www.kanjipedia.jp//kotoba/0000438100
延年転寿,えんねんてんじゅ,https://www.kanjipedia.jp//kotoba/0000442400
煙波縹渺,えんぱひょうびょう,https://www.kanjipedia.jp//kotoba/0000466200
鳶飛魚躍,えんぴぎょやく,https://www.kanjipedia.jp//kotoba/0000482200
偃武修文,えんぶしゅうぶん,https://www.kanjipedia.jp//kotoba/0000454600
婉娩聴従,えんべんちょうじゅう,https://www.kanjipedia.jp//kotoba/0000455500
円木警枕,えんぼくけいちん,https://www.kanjipedia.jp//kotoba/0000438400
円満具足,えんまんぐそく,https://www.kanjipedia.jp//kotoba/0000438600
衍曼流爛,えんまんりゅうらん,https://www.kanjipedia.jp//kotoba/0000450000
延命息災,えんめいそくさい,https://www.kanjipedia.jp//kotoba/0000442600
遠慮会釈,えんりょえしゃく,https://www.kanjipedia.jp//kotoba/0000473500
遠慮近憂,えんりょきんゆう,https://www.kanjipedia.jp//kotoba/0000473600
嘔啞嘲哳,おうあちょうたつ,https://www.kanjipedia.jp//kotoba/0000529300
桜花爛漫,おうからんまん,https://www.kanjipedia.jp//kotoba/0000523400
応機接物,おうきせつもつ,https://www.kanjipedia.jp//kotoba/0000509200
